Проект по інвалідам,Проект по водним ресурсам,Проект по всиновленню,Закон про лікарів,Проект по Сальвадору,Закон про релігії,Антисупутниковий проект,Проект допомоги Нікарагуа,Проект по ракетам,Закон про іммігрантів,Проект по альтернативним джералам палива\енергії,Закон про освіту,Проект по фондам,Проект по злочинності,Проект по миту,Проект по експорту,Клас
ні,так,ні,так,так,так,ні,ні,ні,так,так,так,так,ні,ні,так,республіканець
ні,ні,ні,так,так,так,ні,ні,ні,ні,ні,так,так,так,ні,ні,республіканець
так,ні,так,ні,ні,ні,так,так,так,ні,ні,ні,ні,ні,так,так,демократ
так,ні,так,ні,так,так,так,ні,так,так,ні,ні,так,так,ні,утримався,демократ
ні,так,так,ні,ні,ні,так,так,так,ні,ні,ні,так,ні,утримався,утримався,демократ
ні,так,ні,так,так,так,ні,ні,ні,ні,ні,так,так,так,ні,так,республіканець
ні,ні,ні,ні,ні,ні,так,так,так,так,ні,так,так,так,так,так,демократ
так,ні,так,ні,ні,ні,так,так,так,так,ні,ні,ні,ні,ні,так,демократ
так,так,так,ні,так,так,ні,так,ні,так,так,ні,так,так,так,так,демократ
ні,утримався,утримався,утримався,утримався,утримався,утримався,утримався,утримався,утримався,утримався,утримався,утримався,так,утримався,утримався,республіканець
так,ні,так,ні,ні,ні,так,так,так,ні,так,ні,ні,ні,так,утримався,демократ
ні,ні,так,так,так,так,так,так,так,так,ні,так,так,так,так,так,республіканець
ні,так,ні,так,так,так,ні,ні,ні,ні,ні,так,утримався,утримався,ні,утримався,республіканець
ні,утримався,так,ні,ні,так,так,так,так,так,ні,ні,ні,так,так,так,демократ
так,так,ні,так,так,так,ні,ні,ні,так,ні,ні,так,так,ні,так,республіканець
ні,так,ні,так,так,так,ні,ні,ні,ні,так,так,ні,так,ні,ні,республіканець
ні,так,ні,так,так,так,ні,ні,ні,ні,ні,ні,так,так,утримався,так,республіканець
так,так,так,ні,утримався,ні,так,так,так,так,ні,ні,ні,ні,так,утримався,демократ
так,утримався,ні,так,так,так,ні,так,ні,ні,ні,так,так,так,ні,так,республіканець
ні,ні,ні,так,так,так,ні,ні,ні,ні,ні,так,так,так,ні,так,республіканець
утримався,утримався,утримався,утримався,ні,так,ні,так,так,ні,ні,так,так,ні,ні,утримався,демократ
ні,ні,ні,так,так,так,так,ні,ні,так,ні,так,так,так,ні,так,республіканець
утримався,утримався,утримався,ні,ні,ні,так,так,так,так,ні,ні,так,ні,так,так,демократ
так,ні,так,ні,ні,так,так,так,так,так,так,ні,ні,ні,так,так,демократ
так,ні,так,ні,ні,ні,так,так,так,утримався,так,ні,ні,ні,так,утримався,демократ
так,так,так,ні,так,так,ні,ні,ні,ні,так,утримався,так,так,так,так,демократ
ні,так,ні,так,так,так,ні,ні,ні,ні,ні,так,так,так,ні,ні,республіканець
ні,так,так,ні,ні,так,так,так,так,ні,так,ні,ні,так,так,так,демократ
ні,так,ні,так,так,так,ні,ні,ні,так,так,так,так,так,ні,ні,республіканець
так,так,так,ні,ні,так,так,так,так,так,так,ні,так,так,так,так,демократ
ні,утримався,так,ні,ні,так,так,так,ні,так,ні,ні,ні,ні,так,утримався,демократ
ні,так,ні,так,так,так,ні,ні,ні,так,ні,так,так,утримався,ні,утримався,республіканець
так,утримався,так,ні,ні,ні,так,так,так,ні,ні,ні,ні,ні,так,утримався,демократ
так,ні,так,ні,ні,ні,ні,так,так,так,ні,ні,ні,ні,так,так,демократ
так,ні,так,ні,ні,ні,так,так,так,так,так,ні,ні,ні,так,так,демократ
так,утримався,так,ні,ні,ні,так,так,так,ні,ні,ні,ні,ні,так,утримався,демократ
так,так,так,так,так,ні,так,ні,ні,ні,ні,так,так,так,ні,так,республіканець
ні,ні,ні,так,так,так,ні,ні,ні,ні,ні,так,так,так,ні,так,республіканець
так,так,так,так,так,так,так,так,ні,так,ні,ні,так,так,ні,так,республіканець
так,ні,так,ні,ні,ні,так,так,утримався,так,так,так,ні,так,ні,так,демократ
ні,ні,ні,так,так,так,ні,ні,ні,так,ні,так,так,так,ні,ні,республіканець
так,так,ні,так,так,так,ні,ні,ні,ні,ні,ні,так,так,ні,так,республіканець
ні,так,ні,так,так,так,утримався,ні,ні,ні,ні,утримався,так,так,ні,ні,республіканець
так,так,так,ні,ні,ні,так,так,так,ні,так,ні,ні,ні,так,так,демократ
так,так,ні,так,так,так,ні,ні,ні,так,ні,так,так,так,ні,так,республіканець
ні,так,ні,так,так,так,ні,ні,ні,так,ні,так,так,так,ні,утримався,республіканець
так,так,так,ні,ні,ні,так,так,ні,ні,ні,ні,ні,так,ні,так,демократ
так,ні,ні,ні,ні,так,так,так,так,так,ні,ні,ні,так,так,так,демократ
ні,ні,так,ні,ні,ні,так,так,так,так,так,утримався,ні,ні,так,так,демократ
ні,утримався,ні,так,так,так,ні,ні,ні,так,ні,так,так,так,ні,ні,республіканець
так,утримався,так,ні,утримався,утримався,так,так,так,ні,ні,ні,ні,ні,так,утримався,демократ
ні,так,так,так,так,так,ні,ні,ні,так,так,ні,так,так,ні,ні,демократ
ні,ні,так,ні,ні,ні,так,так,так,так,так,ні,ні,ні,так,так,демократ
так,так,ні,так,так,так,так,ні,ні,ні,ні,так,так,так,ні,ні,республіканець
ні,ні,так,ні,ні,ні,так,так,так,так,ні,ні,ні,ні,так,так,демократ
так,ні,так,ні,ні,ні,так,так,так,ні,ні,ні,ні,ні,так,утримався,демократ
ні,так,так,так,так,так,ні,ні,ні,так,так,так,так,так,так,утримався,республіканець
так,так,так,ні,ні,ні,так,так,так,так,ні,ні,ні,ні,так,так,демократ
так,так,так,утримався,ні,ні,ні,так,ні,ні,так,утримався,ні,ні,так,так,демократ
ні,ні,ні,ні,так,так,так,ні,ні,ні,ні,утримався,ні,так,так,так,демократ
ні,ні,так,ні,ні,ні,так,так,ні,так,так,ні,ні,ні,так,утримався,демократ
так,ні,ні,так,так,так,ні,ні,ні,ні,так,так,так,так,ні,ні,республіканець
ні,так,так,ні,так,так,так,так,ні,ні,так,ні,так,ні,так,так,демократ
ні,ні,так,ні,ні,ні,так,так,так,ні,ні,утримався,ні,ні,так,так,демократ
ні,утримався,ні,так,так,так,ні,ні,ні,так,ні,так,так,так,ні,так,республіканець
так,так,так,ні,ні,ні,так,так,так,ні,ні,ні,ні,ні,так,так,демократ
ні,так,так,так,так,так,так,утримався,ні,ні,ні,ні,утримався,утримався,так,утримався,республіканець
ні,ні,ні,так,так,так,ні,ні,ні,так,ні,так,так,так,ні,ні,республіканець
так,так,так,ні,ні,так,так,так,утримався,так,так,утримався,ні,ні,так,утримався,демократ
так,ні,так,ні,ні,так,так,так,так,так,ні,утримався,ні,так,ні,так,демократ
так,ні,так,ні,ні,так,так,так,так,так,ні,так,ні,так,ні,утримався,демократ
ні,так,так,утримався,так,так,ні,так,ні,так,утримався,ні,так,так,утримався,так,демократ
ні,ні,так,ні,ні,ні,так,так,так,так,ні,ні,ні,так,ні,так,демократ
ні,ні,ні,так,так,так,так,так,ні,так,ні,так,так,так,ні,так,республіканець
ні,ні,ні,так,так,так,так,так,так,так,ні,так,так,так,ні,так,республіканець
ні,так,так,ні,ні,так,ні,так,так,так,ні,ні,так,так,ні,так,демократ
ні,так,так,ні,ні,так,ні,так,так,ні,так,ні,утримався,утримався,утримався,утримався,демократ
так,так,так,ні,ні,так,так,так,так,ні,ні,ні,ні,ні,так,так,демократ
ні,так,так,ні,ні,так,так,так,так,так,ні,утримався,ні,ні,так,так,демократ
ні,так,ні,так,так,так,ні,ні,ні,ні,ні,ні,так,так,ні,так,республіканець
ні,так,ні,так,так,так,ні,ні,ні,так,ні,так,так,так,ні,ні,республіканець
ні,так,ні,так,так,так,ні,ні,ні,ні,так,утримався,так,так,утримався,утримався,республіканець
так,ні,так,ні,ні,ні,так,так,так,так,ні,ні,ні,ні,так,так,демократ
ні,так,так,ні,ні,ні,так,так,так,так,ні,ні,ні,ні,так,так,демократ
так,ні,так,ні,ні,ні,так,так,так,ні,ні,ні,ні,ні,так,утримався,демократ
так,так,ні,так,так,так,ні,ні,ні,так,ні,так,так,так,ні,так,республіканець
ні,ні,ні,так,так,так,ні,ні,ні,так,ні,так,так,так,ні,так,республіканець
так,ні,так,ні,ні,ні,так,так,так,так,ні,ні,ні,ні,так,так,демократ
так,утримався,так,ні,ні,так,так,так,так,так,ні,ні,ні,ні,так,утримався,демократ
так,так,так,так,так,так,так,так,ні,так,утримався,утримався,утримався,так,ні,так,республіканець
так,ні,так,ні,ні,так,так,так,так,ні,ні,так,утримався,так,так,так,демократ
